X, Y ,Z
-55.00672,21.17969, 28.68658
-55.00904,21.20999, 28.71805
-55.01094,21.23488, 28.7439
-55.01273,21.25828, 28.7682
-55.01496,21.28751, 28.79854
-55.01726,21.31767, 28.82986
-55.01913,21.34218, 28.85532
-55.02151,21.37325, 28.88759
-55.02377,21.40281, 28.91828
-55.02544,21.42473, 28.94105
-55.02774,21.45493, 28.9724
-55.0305,21.49102, 29.00989
-55.03196,21.51015, 29.02975
-55.03425,21.54005, 29.0608
-55.03652,21.56981, 29.09171
-55.03824,21.59229, 29.11505
-55.04023,21.61839, 29.14216
-55.04279,21.65186, 29.17691
-55.04449,21.6742, 29.20011
-55.04663,21.70214, 29.22912
-55.04889,21.73178, 29.25991
-55.05145,21.76532, 29.29473
-55.05295,21.78487, 29.31504
-55.05531,21.81572, 29.34707
